選挙区,議員名,ひらがな,写真,所属会派,プロフィール,URL
茨城県,加藤　　明良,かとう　あきよし,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022010.jpg,自由民主党,昭和４３年２月７日茨城県水戸市生まれ。平成３年専修大学商学部卒業○平成３年４月よりニュージーランドオークランドホールディングス出向社員として現地赴任を経て、平成４年１０月より平成１９年７月まで参議院議員狩野安公設秘書、平成１９年７月より平成２２年１０月まで参議院議員長谷川大紋公設秘書を務める○平成２２年１２月の茨城県議会議員選挙（水戸市・城里町選挙区）で初当選。土木企業立地推進委員会委員長、議会運営委員会副委員長、自民党茨城県支部連合会遊説局長、広報本部長、総務会副会長等を歴任（令和４年４月まで３期１１年）○令和４年７月１０日の参議院議員通常選挙において初当選○茨城県フェンシング協会会長、茨城県太極拳協会会長、水戸市サッカー協会会長、水戸市水泳協会会長、茨城県トライアスロン協会副会長、水戸市陸上競技協会顧問、茨城県遺族連合会青年部長,/japanese/joho1/kousei/giin/profile/7022010.htm
茨城県,堂込　麻紀子,どうごみ　まきこ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022027.jpg,各派に属しない議員,１９７５年９月１６日、茨城県阿見町生まれ。茨城県立土浦第二高等学校、流通経済大学社会学部社会学科卒業○１９９８年４月ジャスコ株式会社（現イオンリテール株式会社）入社、茨城県内及び関東近郊の各店舗に勤務。２００７年１０月よりイオンリテール労働組合、２０１２年１０月よりイオンリテールワーカーズユニオン中央執行委員、海外グループ（カンボジア・中国等）、本部専門局スタッフ、地域議長を歴任。２０２１年１０月より連合茨城執行委員・女性委員会委員、ＵＡゼンセン茨城県支部運営評議員、イオンリテールワーカーズユニオン中央執行副委員長,/japanese/joho1/kousei/giin/profile/7022027.htm
栃木県,高橋　　克法,たかはし　かつのり,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013030.jpg,自由民主党,昭和３２年１２月７日栃木県塩谷郡高根沢町生まれ○栃木県立宇都宮東高等学校を経て、昭和５６年３月明治大学法学部法律学科卒業○卒業後、日本電子工学株式会社（北綜警グループ）入社。昭和６０年参議院議員岩崎純三公設秘書になる○平成８年１２月栃木県議会議員当選○平成１０年８月現職町長の急逝により高根沢町長選挙に出馬し当選、以降平成２５年３月まで連続４期１５年間在職○平成２５年７月第２３回参議院議員通常選挙栃木県選挙区にて初当選○党国対副委長、予算委理事等、要職を担い、平成２９年８月国土交通大臣政務官に就任○令和元年７月「地方を守り抜く」ことを公約に参院選を戦い、２期目の当選を果たす○党副幹事長、議運委次席理事、党国対筆頭副委員長を経て、令和４年１０月文教科学委員長に就任,/japanese/joho1/kousei/giin/profile/7013030.htm
栃木県,上野　　通子,うえの　みちこ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010013.jpg,自由民主党,昭和３３年４月２１日栃木県生まれ。昭和５６年共立女子大学文芸学部卒業。昭和５６年４月より宇都宮学園高等学校教諭。昭和６０年４月宇都宮文星女子高等学校教諭。平成１２年４月文星国際交流センター長。平成１５年４月栃木県議会議員・文教警察委員会。平成１６年３月厚生環境委員会。平成１７年３月農林委員会・児童・高齢者虐待問題対策特別委員会委員長。平成１８年９月決算特別委員会。平成１９年４月栃木県議会議員再選（２期）、５月生活保健福祉委員会副委員長。平成２０年３月農林環境委員会委員長。平成２１年議会運営委員会。平成２２年参議院議員選挙栃木選挙区にて初当選。党女性局長。文部科学大臣政務官。文教科学委員長。文部科学副大臣○現在文教科学委員会理事、党広報本部新聞出版局長,/japanese/joho1/kousei/giin/profile/7010013.htm
群馬県,清水　　真人,しみず　まさと,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019018.jpg,自由民主党,昭和５０年２月２６日、群馬県高崎市生まれ○東京農業大学第二高等学校卒業、明治学院大学経済学部卒業○平成１５年、２８歳の時に高崎市議会議員に初当選（通算２期）、平成２１年高崎市議会副議長○平成２３年群馬県議会議員初当選（通算２期）○令和元年７月の第２５回参議院議員通常選挙で初当選○国土交通大臣政務官【役職歴】○参議院においては、法務委員会、北朝鮮による拉致問題等に関する特別委員会の次席理事、議院運営委員会委員○自民党においては、参議院自由民主党副幹事長、党政務調査会内閣第二部会副部会長、党青年局顧問、党女性局、広報戦略局、地方組織・議院総局の次長、組織運動本部運輸・交通関係委員会副委員長など○政治信条は、「出来ること、するべきことを確実に」「摩頂放踵」,/japanese/joho1/kousei/giin/profile/7019018.htm
群馬県,中曽根　弘文,なかそね　ひろふみ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g5986024.jpg,自由民主党,昭和２０年１１月２８日群馬県高崎市生まれ、慶應義塾高等学校を経て、同４３年慶應義塾大学卒業、同年４月旭化成工業（株）入社、同５８年内閣総理大臣秘書・自民党総裁秘書（兼務）○昭和６１年参議院議員に当選、通産政務次官、商工委員長、議院運営委員長、参議院自民党政策審議会長、国鉄・国有林野特別委員長、政治倫理審査会会長、文部大臣、科学技術庁長官、内閣総理大臣補佐官、裁判官弾劾裁判所裁判長、予算委員長、教育基本法に関する特別委員長、懲罰委員長、外務大臣、参議院自民党議員会長、党党紀委員長、拉致特委員長、情報監視審査会会長、憲法審査会会長○日米国会議員連盟会長、日墨友好議連会長、参議院日本ポーランド友好議連会長、参議院ＡＳＥＡＮ議員交流推進議連会長、幼児教育議連会長、障害者スポーツ・パラリンピック議連会長、日韓協力委員会会長代行、日本陸上競技連盟評議員会議長、日本武道館理事,/japanese/joho1/kousei/giin/profile/5986024.htm
埼玉県,伊藤　　　岳,いとう　がく,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019002.jpg,日本共産党,１９６０年３月６日、埼玉県川口市に生まれる。１９７５年草加市立栄中学校卒業。１９７８年埼玉県立越ヶ谷高校卒業。１９８２年文教大学人間科学部卒業。「子どもの貧困」に胸を痛め社会変革の事業に参加、日本民主青年同盟埼玉県委員長、日本共産党埼玉中央地区委員長、同さいたま地区副委員長、埼玉県常任委員を歴任。２００１年以降国政選挙に７回挑戦し、８回目の２０１９年７月の参議院選挙で当選。２０１１年の原発事故以来、ツイッターで呼びかけ埼玉県内３０か所以上でデモを主催。参議院議員として環境委員会、総務委員会に所属。新型コロナ感染拡大のなか、医療スタッフの増員、公立公的病院の体制拡充、ケア労働者の処遇改善を求め、統計不正問題、日本郵便さいたま新都心郵便局で起きた過労自死について、日本郵便の責任を追及した,/japanese/joho1/kousei/giin/profile/7019002.htm
埼玉県,熊谷　　裕人,くまがい　ひろと,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019017.jpg,立憲民主・社民,昭和３７年３月２３日、旧埼玉県大宮市（現埼玉県さいたま市大宮区）生まれ○大宮東小、大宮東中、中央大学附属高校、中央大学商学部卒○サラリーマン生活を経て、衆参国会議員の政策担当秘書を長らく務め、その間、新進党や民主党の結党に参画し、民主党役員室次長や政党秘書会長、参議院秘書協議会事務局長等を歴任○平成１９年４月、さいたま市議会議員選挙初当選。以後、連続３期当選○平成２９年立憲民主党の結党に参画し、平成３０年に枝野幸男衆議院議員とともに立憲民主党埼玉県連合を立ち上げ、幹事長に就任○さいたま市議会議員としては、「チルドレンファースト！すべては子どもたちのために！」を活動の原点にして、児童虐待防止、子どもの貧困対策等に精力的に取り組む○令和元年７月、参議院議員選挙（埼玉県選挙区）で初当選○現在立憲民主党政調副会長、埼玉県連代表代行,/japanese/joho1/kousei/giin/profile/7019017.htm
埼玉県,古川　　俊治,ふるかわ　としはる,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7007053.jpg,自由民主党,昭和３８年１月１４日さいたま市岩槻区生まれ。昭和６２年に慶應義塾大学医学部卒業。慶應義塾大学病院において外科専門医としての修練を積む一方、平成２年から平成５年にかけて米国カリフォルニア大学医学部との共同研究に従事。平成６年に博士号取得。その一方、慶應義塾大学の文学部で社会学を、次いで法学部で法律学を学び、文学部を平成５年に、法学部を平成８年に卒業。平成８年に司法試験に合格し、平成１１年に弁護士登録。以後、医師・弁護士として活動し、慶應義塾大学医学部にてロボット外科医療などの先進医療を推進するとともに、日本弁護士連合会公害対策環境保全委員会の特別委嘱委員、埼玉県環境審議委員等を務める。平成１６年に英国オックスフォード大学大学院に留学し、国際企業や公共政策を研究し、平成１７年に経営学修士号を取得。平成１９年より、慶應義塾大学大学院法務研究科（法科大学院）教授・医学部外科教授（兼担）となる,/japanese/joho1/kousei/giin/profile/7007053.htm
埼玉県,矢倉　　克夫,やくら　かつお,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013056.jpg,公明党,１９７５年１月１１日神奈川県横浜市生まれ。１９９７年東京大学法学部卒業、２０００年司法研修所修了後、同年アンダーソン・毛利法律事務所（現アンダーソン・毛利・友常法律事務所）に弁護士として入所。２００５年にカリフォルニア大学ロサンゼルス校法学修士課程修了後、２００６年６月まで米国ホランド・アンド・ナイト法律事務所にて出向勤務、その後、中国上海にある復旦大学にて中国語研修を行った後、２００７年８月まで中国キングアンドウッド法律事務所にて出向勤務を経てアンダーソン・毛利・友常法律事務所に再び勤務。２００９年１月より経済産業省参事官補佐として中国レアアース輸出規制などＷＴＯ紛争処理に関与○現在予算委員会理事、国土交通委員会委員、憲法審査会委員、政府開発援助等及び沖縄・北方問題に関する特別委員会理事、公明党青年委員会顧問○著書「世界で勝てる日本をつくる」「現場を走り、世界に挑む。」,/japanese/joho1/kousei/giin/profile/7013056.htm
